,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B35,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C13,C14,C15,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,D13,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,G01,G02,G03,G04,G05,J02,J03,K01,K02,K03,K04,K05,K06,K07,K08,N01,N02,N03,N04,N06
A01,,2,4,6,9,11,13,15,18,20,23,26,29,32,36,2,4,6,10,12,15,18,21,24,27,31,8,,1,2,4,7,9,12,13,15,17,22,24,29,30,1,3,5,7,9,11,13,14,18,20,22,25,28,9,10,12,14,17,15,23,26,29,32,2,8,5,12,14,16,19,21,24,26,29,17,20,23,26,29,29,35,10,12,13,15,19,22,26,29,27,29,31,33,41
A02,2,,2,4,7,9,11,13,16,18,21,24,27,30,34,4,6,8,12,14,17,20,23,26,29,33,10,2,8,9,11,14,16,17,18,20,22,27,29,31,32,8,10,12,14,16,18,20,21,25,27,29,32,35,11,12,14,16,19,17,25,28,31,34,4,10,12,14,16,18,21,23,26,28,31,24,27,30,33,36,36,42,17,19,20,22,26,29,33,36,34,36,38,40,48
A03,4,2,,2,5,7,9,11,14,16,19,22,25,28,32,6,8,10,14,16,19,22,25,28,31,35,12,4,10,11,13,16,18,19,20,22,24,29,31,33,34,10,12,14,16,18,20,22,23,27,29,31,34,37,13,14,16,18,21,19,27,30,33,36,6,12,14,16,18,20,23,25,28,30,33,26,29,32,35,38,38,44,19,21,22,24,28,31,35,38,36,38,40,42,50
A04,6,4,2,,3,5,7,9,12,14,17,20,23,26,30,8,10,12,16,18,21,24,27,30,33,37,14,6,12,13,15,18,20,21,22,24,26,31,33,35,36,12,14,16,18,20,22,24,25,29,31,33,36,39,15,16,18,20,23,21,29,32,35,38,8,14,16,18,20,22,25,27,30,32,35,28,31,34,37,40,40,46,21,23,24,26,30,33,37,40,38,40,42,44,52
A05,9,7,5,3,,2,4,6,9,11,14,17,20,23,27,11,13,15,19,21,24,27,30,33,36,40,17,9,15,16,18,21,23,24,25,27,29,34,36,38,39,15,17,19,21,23,25,27,28,32,34,36,39,42,18,19,21,23,26,24,32,35,38,41,11,17,19,21,23,25,28,30,33,35,38,31,34,37,40,43,43,49,24,26,27,29,33,36,40,43,41,43,45,47,55
A06,11,9,7,5,2,,2,4,7,9,12,15,18,21,25,13,15,17,21,23,26,29,32,35,38,42,19,11,17,18,20,23,25,26,27,29,31,36,38,40,41,17,19,21,23,25,27,29,30,34,36,38,41,44,20,21,23,25,28,26,34,37,40,43,13,19,21,23,25,27,30,32,35,37,40,33,36,39,42,45,45,51,26,28,29,31,35,38,42,45,43,45,47,49,57
A07,13,11,9,7,4,2,,2,5,7,10,13,16,19,23,15,17,19,23,25,28,31,34,37,40,44,21,13,19,20,22,25,27,28,29,31,33,38,40,42,43,19,21,23,25,27,29,31,32,36,38,40,43,46,22,23,25,27,30,28,36,39,42,45,15,21,23,25,27,29,32,34,37,39,42,35,38,41,44,47,47,53,28,30,31,33,37,40,44,47,45,47,49,51,59
A08,15,13,11,9,6,4,2,,3,5,8,11,14,17,21,17,19,21,25,27,30,33,36,39,42,46,23,15,21,22,24,27,29,30,31,33,35,40,42,44,45,21,23,25,27,29,31,33,34,38,40,42,45,48,24,25,27,29,32,30,38,41,44,47,17,23,25,27,29,31,34,36,39,41,44,37,40,43,46,49,49,55,30,32,33,35,39,42,46,49,47,49,51,53,61
A09,18,16,14,12,9,7,5,3,,2,5,8,11,14,18,20,22,24,28,30,33,36,39,42,45,49,26,18,24,25,27,30,32,33,34,36,38,43,45,47,48,24,26,28,30,32,34,36,37,41,43,45,48,51,27,28,30,32,35,33,41,44,47,50,20,26,28,30,32,34,37,39,42,44,47,40,43,46,49,52,52,58,33,35,36,38,42,45,49,52,50,52,54,56,64
A10,20,18,16,14,11,9,7,5,2,,3,6,9,12,16,22,24,26,30,32,35,38,41,44,47,51,28,20,26,27,29,32,34,35,36,38,40,45,47,49,50,26,28,30,32,34,36,38,39,43,45,47,50,53,29,30,32,34,37,35,43,46,49,52,22,28,30,32,34,36,39,41,44,46,49,42,45,48,51,54,54,60,35,37,38,40,44,47,51,54,52,54,56,58,66
A11,23,21,19,17,14,12,10,8,5,3,,3,6,9,13,25,27,29,33,35,38,41,44,47,50,54,31,23,29,30,32,35,37,38,39,41,43,48,50,52,53,29,31,33,35,37,39,41,42,46,48,50,53,56,32,33,35,37,40,38,46,49,52,55,25,31,33,35,37,39,42,44,47,49,52,45,48,51,54,57,57,63,38,40,41,43,47,50,54,57,55,57,59,61,69
A12,26,24,22,20,17,15,13,11,8,6,3,,3,6,10,28,30,32,36,38,41,44,47,50,53,57,34,26,32,33,35,38,40,41,42,44,46,51,53,55,56,32,34,36,38,40,42,44,45,49,51,53,56,59,35,36,38,40,43,41,49,52,55,58,28,34,36,38,40,42,45,47,50,52,55,48,51,54,57,60,60,66,41,43,44,46,50,53,57,60,58,60,62,64,72
